ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score
ASHR,3.0,2026-03-31,5.5178,2.36,23.7842,-33.1188,0.65,6.443134574468085,1.91,,0.052694
HFXI,3.0,2026-03-31,16.886,4.44,13.5315,-13.5164,0.2,0.15076875,1.74,,-0.100506
IVOG,3.0,2026-03-31,13.0154,0.62,18.6774,-25.6077,0.1,0.024140292553191486,1.64,,-0.077071
TAN,3.0,2026-03-31,-10.2929,0.0,37.9989,-66.6034,0.7,1.0176928191489363,2.29,,0.270439
IYM,3.0,2026-03-31,11.7025,1.32,17.9972,-23.616,0.38,0.053674069148936174,1.41,,0.1017
RODM,3.0,2026-03-31,19.0429,2.96,11.9547,-10.5797,0.29,0.13579255319148936,1.54,,-0.051485
SCHV,3.0,2026-03-31,14.3042,1.97,12.714,-15.266,0.04,1.7984136968085107,15.54,7.6161,0.133675
XLG,3.0,2026-03-31,21.6364,0.7,16.8744,-20.7045,0.2,1.7890650265957448,11.01,3.0793,-0.031112
FVD,3.0,2026-03-31,7.92,2.3,11.219,-11.9745,0.61,0.8468324468085107,7.9,6.2775,0.218576
SIL,3.0,2026-03-31,45.1166,1.11,39.6895,-32.9069,0.65,1.2596527925531915,5.22,,-0.010939
RING,3.0,2026-03-31,48.5697,0.78,36.745,-30.1147,0.39,0.27819082446808513,2.71,,0.02991
CWI,3.0,2026-03-31,15.8578,2.98,14.6458,-13.8472,0.3,0.2929317819148936,2.79,,-0.052916
SPYX,3.0,2026-03-31,18.1511,0.98,15.0957,-18.7392,0.2,0.11526742021276595,2.78,3.8685,-0.190696
FBT,3.0,2026-03-31,9.2556,0.0,20.1981,-20.045,0.54,0.04039521276595745,2.57,1.0,0.305632
FENY,3.0,2026-03-31,18.4319,2.31,21.5968,-21.466,0.084,1.804442420212766,1.9,0.8,0.011179
KORU,3.0,2026-03-31,51.0677,0.59,82.2182,-73.7143,1.32,0.1597414494680851,1.89,,0.240054
SOXS,3.0,2026-03-31,-75.9321,8.44,104.6137,-99.1893,1.0,6.467677259308511,1.83,,0.02547
TNA,3.0,2026-03-31,12.2985,0.62,63.2646,-65.7827,1.05,15.283014494680852,1.43,,-0.292109
BIZD,3.0,2026-03-31,6.3346,13.05,15.8483,-22.557,12.86,1.1579163563829786,1.57,,-0.084009
