ETF,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity,Out_Sentiment,Super_Score
TMFC,0.3691697405855307,0.6822436338609774,0.7467485549132947,0.1325056433408578,0.1433508735453674,0.3793577224590839,0.5117662670975192,0.685
FNDC,0.2271763373078017,0.5459738472126636,0.4502649325626203,0.8679458239277652,0.1940211975691637,0.8201609132168889,0.3177792309775992,0.684
AVUS,0.3298644805868916,0.2486579490708878,0.5588872832369942,0.3112866817155756,0.3718719464454624,0.8844890661532112,0.682154006955294,0.682
IWV,0.3139644693881738,0.3105987611837578,0.5569605009633912,0.3011286681715576,0.4046398091016703,0.7127575299133543,0.7062753606930121,0.6815
GSEW,0.2911997701366268,0.1743289745354439,0.4452071290944124,0.4169300225733634,0.1216175199442749,0.9590166414523448,0.120965204376746,0.6774
VOT,0.395917646852774,0.1247763248451479,0.4187138728323699,0.24627539503386,0.4007752599838652,0.7231426213725759,0.4318504310804784,0.6743
DUHP,0.2700479202639576,0.3105987611837578,0.4880780346820809,0.3214446952595937,0.4315311163117196,0.719788199697428,0.406517509993789,0.6734
AVLV,0.3267141269731533,0.2486579490708878,0.5458815028901735,0.345823927765237,0.3785009027228837,0.9451409709806076,0.9081244510598478,0.6715
VFMO,0.5038222875675886,0.2238816242257399,0.7021917148362234,0.2523702031602709,0.1196777268879889,0.7218800715169852,0.4044703223458659,0.6713
IVE,0.2552872690077366,0.2858224363386098,0.4184730250481695,0.4331828442437923,0.5862389283305285,1.0,0.7855082535973537,0.6708
DTCR,0.5048799528225951,0.6822436338609774,0.9411127167630056,0.2645598194130926,0.1632911477211845,0.2058190070141658,0.5845128421213921,0.6693
PWB,0.418677297356003,0.7441844459738475,0.8202071290944124,0.1,0.1343731924803493,0.4204277265850639,0.5350651340576835,0.6686
VDC,0.1542735520178934,0.1743289745354439,0.2253131021194605,0.5367945823927766,0.2861501239272891,0.1,0.7905351089124624,0.6624
TCAF,0.2505666715112212,0.4468685478320717,0.4861512524084779,0.209706546275395,0.3466118316390948,0.685216613945812,0.1,0.6618
DFSU,0.3360282657599817,0.2486579490708878,0.5497350674373797,0.2909706546275395,0.1462435764868586,0.7636308623298033,0.406517509993789,0.6604
BBMC,0.4552380755880463,0.1495526496902959,0.4933766859344894,0.3539503386004515,0.1328062466654003,0.8418718195571446,0.3756323927360683,0.6599
DFAC,0.3287314701878678,0.2734342739160358,0.5266136801541426,0.309255079006772,0.6811621970183015,0.8653527712831796,1.0,0.6594
VNQ,0.3448022122355912,0.2238816242257399,0.2303709055876686,0.8984198645598195,0.7452541114125695,0.1,0.3467402873505035,0.6583
DGRW,0.2292905214549608,0.4097040605643497,0.4411127167630058,0.3905191873589165,0.4476192438843274,0.8751189657543665,0.5687690333454636,0.6559
