ETF,DEA_Score,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity
QQQ,0.704,0.4435460060419223,0.2858224363386098,0.7137524084778419,0.199548532731377,1.0,0.3130614771008114
DCOR,0.7005,0.3182980892356642,0.2362697866483139,0.5526252408477842,0.3112866817155756,0.1802145352126922,0.8458822720396093
VLUE,0.7004,0.3203053349537427,0.2486579490708878,0.5598506743737957,0.5063205417607224,0.4178875136963993,0.4821441342318799
IOO,0.6946,0.3213391344784642,0.5583620096352376,0.6511319845857418,0.2950338600451467,0.3066659536651159,0.3732430202173015
VTWO,0.6946,0.5494070678698801,0.1371644872677219,0.4678468208092485,0.3559819413092551,0.5671284181904279,0.8283798652179891
IVW,0.6938,0.4192224611993891,0.2858224363386098,0.6899084778420038,0.1873589164785553,0.7730682829223214,0.3975409159675422
ACWI,0.6933,0.254307396054756,0.4592567102546457,0.518184007707129,0.4230248306997743,0.7033637371700887,0.7107151698528399
XLRE,0.6899,0.3253410812599764,0.1619408121128699,0.2383188824662813,0.796839729119639,0.6236802945603097,0.1
MTUM,0.6857,0.4211769267085799,0.2486579490708878,0.6682321772639692,0.2665914221218961,0.5132347544947422,0.5474625223490578
TMFC,0.685,0.3691697405855307,0.6822436338609774,0.7467485549132947,0.1325056433408578,0.1433508735453674,0.3793577224590839
FNDC,0.684,0.2271763373078017,0.5459738472126636,0.4502649325626203,0.8679458239277652,0.1940211975691637,0.8201609132168889
AVUS,0.682,0.3298644805868916,0.2486579490708878,0.5588872832369942,0.3112866817155756,0.3718719464454624,0.8844890661532112
IWV,0.6815,0.3139644693881738,0.3105987611837578,0.5569605009633912,0.3011286681715576,0.4046398091016703,0.7127575299133543
GSEW,0.6774,0.2911997701366268,0.1743289745354439,0.4452071290944124,0.4169300225733634,0.1216175199442749,0.9590166414523448
VOT,0.6743,0.395917646852774,0.1247763248451479,0.4187138728323699,0.24627539503386,0.4007752599838652,0.7231426213725759
DUHP,0.6734,0.2700479202639576,0.3105987611837578,0.4880780346820809,0.3214446952595937,0.4315311163117196,0.719788199697428
AVLV,0.6715,0.3267141269731533,0.2486579490708878,0.5458815028901735,0.345823927765237,0.3785009027228837,0.9451409709806076
VFMO,0.6713,0.5038222875675886,0.2238816242257399,0.7021917148362234,0.2523702031602709,0.1196777268879889,0.7218800715169852
IVE,0.6708,0.2552872690077366,0.2858224363386098,0.4184730250481695,0.4331828442437923,0.5862389283305285,1.0
DTCR,0.6693,0.5048799528225951,0.6822436338609774,0.9411127167630056,0.2645598194130926,0.1632911477211845,0.2058190070141658
PWB,0.6686,0.418677297356003,0.7441844459738475,0.8202071290944124,0.1,0.1343731924803493,0.4204277265850639
VDC,0.6624,0.1542735520178934,0.1743289745354439,0.2253131021194605,0.5367945823927766,0.2861501239272891,0.1
TCAF,0.6618,0.2505666715112212,0.4468685478320717,0.4861512524084779,0.209706546275395,0.3466118316390948,0.685216613945812
DFSU,0.6604,0.3360282657599817,0.2486579490708878,0.5497350674373797,0.2909706546275395,0.1462435764868586,0.7636308623298033
BBMC,0.6599,0.4552380755880463,0.1495526496902959,0.4933766859344894,0.3539503386004515,0.1328062466654003,0.8418718195571446
DFAC,0.6594,0.3287314701878678,0.2734342739160358,0.5266136801541426,0.309255079006772,0.6811621970183015,0.8653527712831796
VNQ,0.6583,0.3448022122355912,0.2238816242257399,0.2303709055876686,0.8984198645598195,0.7452541114125695,0.1
DGRW,0.6559,0.2292905214549608,0.4097040605643497,0.4411127167630058,0.3905191873589165,0.4476192438843274,0.8751189657543665
IWY,0.651,0.4463974262375989,0.3105987611837578,0.710621387283237,0.1792325056433408,0.4167989804724255,0.2971929583276027
FTCS,0.6503,0.1495304668023989,0.7070199587061254,0.3153901734104046,0.3255079006772009,0.3135639200870649,0.7585063952688763
MLPA,0.6471,0.231443408712756,1.0,0.2973265895953757,1.0,0.1525204728445509,0.1063127492779535
QTUM,0.6465,0.6013047911896895,0.5583620096352376,1.0,0.3234762979683973,0.2617855778595111,0.1642786411772795
IYF,0.6429,0.307004163981904,0.5335856847900896,0.5757466281310212,0.4291196388261852,0.2187250379357122,0.105644340530876
MLPX,0.6421,0.3175568735855313,0.6203028217481076,0.6089836223506744,0.9248306997742664,0.2198751307970657,0.1
PABU,0.6421,0.3577730109366065,0.1867171369580179,0.5080684007707129,0.3112866817155756,0.1544527983278581,0.4051533489203686
EUSA,0.6418,0.292350373938613,0.1743289745354439,0.4054672447013487,0.4413092550790067,0.1202023374101666,0.9205831384953924
VFLO,0.6413,0.3062292167533024,0.5459738472126636,0.5757466281310212,0.3884875846501129,0.3456268109882054,0.6607825608582037
SCHE,0.6409,0.3352016846853458,0.1495526496902959,0.4194364161849711,0.6972911963882619,0.4802599783623112,0.8105184981433089
DFLV,0.6387,0.2647822361402068,0.3229869236063318,0.4553227360308285,0.4148984198645599,0.3130107570877105,0.9260789437491402
IWF,0.6383,0.444304737878867,0.2858224363386098,0.6684730250481696,0.1812641083521445,0.7138367842549518,0.3318264337780222
IGM,0.6329,0.5617144432227882,0.5459738472126636,0.9223265895953756,0.136568848758465,0.3626958285711622,0.1388172190895337
XLU,0.6301,0.3329833953478679,0.1619408121128699,0.368135838150289,0.6261851015801354,0.8432996562886161,0.1
QGRW,0.6291,0.4948987971667977,0.4097040605643497,0.785043352601156,0.1182844243792325,0.1737461391843225,0.3020574886535552
ONEQ,0.6282,0.4702612498773996,0.3229869236063318,0.7190510597302504,0.2686230248306998,0.3467289049890599,0.3367652317425388
SDY,0.623,0.2045926208341981,0.4964211975223677,0.2643304431599229,0.6139954853273137,0.4306988928122139,0.929557144821895
XMMO,0.6214,0.4847393375395175,0.4964211975223677,0.789378612716763,0.2442437923250564,0.2983818088680813,0.4978888736074817
IMCG,0.6182,0.3908052546073679,0.1371644872677219,0.4625481695568401,0.2625282167042889,0.2048399701375606,0.6003905927657818
SUSA,0.6172,0.3145988238253767,0.3725395732966278,0.5244460500963392,0.2970654627539504,0.2235226648679994,0.554555081831935
VIOO,0.6155,0.5547255322025184,0.1495526496902959,0.3953516377649325,0.3661399548532732,0.205153576638928,0.9071159400357584
XNTK,0.6154,0.6191594223298995,0.4964211975223677,0.9558044315992292,0.1507900677200903,0.1358215767009664,0.150464860404346
