ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score
XBI,3.0,2026-04-15,18.5,0.35,27.06,-33.0,0.35,9.55,8.39,1.0,0.087684
IDV,3.0,2026-04-15,16.06,4.63,14.63,-14.21,0.5,0.77,8.61,,0.173007
PPA,3.0,2026-04-15,29.84,0.4,17.5,-15.5,0.58,0.18,8.37,0.921,0.164767
IJJ,3.0,2026-04-15,10.86,1.77,18.35,-23.35,0.18,0.19,8.47,6.4144,0.010708
DFEM,3.0,2026-04-15,16.36,2.26,16.24,-18.81,0.39,0.67,9.4,,0.0
IBB,3.0,2026-04-15,9.67,0.23,19.73,-25.06,0.44,1.65,7.94,0.8,-0.076654
QYLD,3.0,2026-04-15,0.64,11.93,13.35,-20.58,0.6,5.51,8.41,2.6033,0.135791
IOO,3.0,2026-04-15,22.26,0.96,15.91,-19.19,0.4,0.17,9.03,3.0075,0.103237
VPL,3.0,2026-04-15,15.77,3.3,17.31,-18.25,0.07,0.65,8.61,,0.155272
VDC,3.0,2026-04-15,4.58,2.15,11.95,-12.78,0.09,0.14,7.88,0.8,0.233916
FTCS,3.0,2026-04-15,8.32,1.11,11.3,-13.22,0.52,0.35,7.67,6.12,-0.059307
AIQ,3.0,2026-04-15,29.21,0.2,22.53,-26.35,0.68,0.83,10.85,1.7513,0.078826
THRO,3.0,2026-04-15,20.56,0.19,15.92,-19.09,0.57,0.51,7.07,3.8986,0.05788
EWT,3.0,2026-04-15,21.35,1.4,24.13,-28.01,0.59,3.46,11.12,,0.002626
URTH,3.0,2026-04-15,17.31,1.53,14.36,-16.94,0.24,0.3,8.1,5.4526,0.106249
GUNR,3.0,2026-04-15,8.32,2.23,16.52,-23.27,0.46,0.64,7.37,,0.219184
XLRE,3.0,2026-04-15,5.12,3.43,16.95,-18.25,0.08,6.43,7.82,0.8,-0.253752
VIS,3.0,2026-04-15,21.27,0.97,17.17,-21.33,0.09,0.09,7.79,1.0,0.13682
COPX,3.0,2026-04-15,27.93,2.59,35.71,-40.74,0.65,1.65,7.99,,-0.038967
BBUS,3.0,2026-04-15,19.09,1.14,15.01,-19.22,0.02,0.18,8.38,5.5432,0.025023
IJS,3.0,2026-04-15,10.38,1.43,21.71,-29.23,0.18,0.36,8.24,7.1736,0.33955
SPLV,3.0,2026-04-15,5.31,2.12,10.95,-10.52,0.25,2.36,6.91,5.3447,-0.13155
XLB,3.0,2026-04-15,8.58,1.75,17.02,-23.93,0.08,11.65,7.31,0.8,-0.435389
FDL,3.0,2026-04-15,10.95,3.61,13.52,-13.19,0.43,0.79,7.36,4.603,0.135642
VONE,3.0,2026-04-15,18.84,1.14,15.03,-19.31,0.06,0.08,8.14,6.0205,0.148282
SPYD,3.0,2026-04-15,6.1,4.37,14.8,-17.98,0.07,1.28,7.21,7.1582,-0.132143
JQUA,3.0,2026-04-15,15.53,1.26,13.7,-17.04,0.12,0.61,8.13,5.0865,0.035265
HEFA,3.0,2026-04-15,14.22,3.26,13.4,-14.28,0.35,1.06,7.13,,-0.121717
DFSV,3.0,2026-04-15,13.6,1.53,21.35,-28.52,0.3,0.9,7.64,6.3898,0.131867
URA,3.0,2026-04-15,39.2,4.4,40.86,-39.45,0.69,3.29,7.06,,0.145754
JGLO,2.6,2026-04-15,14.79,1.25,14.26,-17.73,0.47,0.33,7.15,6.5104,0.0
IJT,3.0,2026-04-15,12.83,0.86,20.18,-27.73,0.18,0.12,7.51,6.3939,0.261164
IXN,3.0,2026-04-15,28.09,0.34,23.4,-25.55,0.39,0.23,9.72,0.8,0.045991
MCHI,3.0,2026-04-15,5.22,2.27,27.5,-27.63,0.59,3.59,6.35,,-0.033447
DIVO,3.0,2026-04-15,8.2,5.12,10.98,-13.29,0.56,0.45,7.11,6.0827,0.094262
TCAF,2.8,2026-04-15,15.41,0.54,14.15,-16.57,0.31,0.67,7.32,5.5279,-0.206309
BBAX,3.0,2026-04-15,8.06,3.73,16.77,-21.47,0.19,0.27,6.41,,0.103133
XMMO,3.0,2026-04-15,28.0,0.71,19.99,-25.22,0.35,0.26,7.49,4.0145,-0.000544
VFLO,2.8,2026-04-15,19.13,1.42,15.82,-18.3,0.39,0.63,7.54,5.3305,0.077497
BBIN,3.0,2026-04-15,12.38,3.9,15.33,-14.26,0.07,0.21,6.51,,-0.106462
INDA,3.0,2026-04-15,7.54,0.0,13.96,-23.28,0.61,5.15,6.76,,0.067429
ESGE,3.0,2026-04-15,16.29,2.45,17.93,-18.03,0.25,0.77,7.16,,-0.000998
KWEB,3.0,2026-04-15,-0.42,7.53,35.45,-35.31,0.7,21.2,6.23,,-0.021698
DXJ,3.0,2026-04-15,32.4,1.21,20.44,-22.19,0.48,0.66,6.87,,-0.138579
JAVA,3.0,2026-04-15,12.48,1.35,13.11,-17.08,0.44,0.24,6.53,8.0645,0.0
VSGX,3.0,2026-04-15,13.39,3.29,15.19,-15.12,0.1,0.16,6.65,,-0.100891
VOOV,3.0,2026-04-15,12.36,1.8,12.87,-18.39,0.07,0.09,6.46,8.3682,0.249073
XAR,3.0,2026-04-15,33.67,0.35,22.42,-19.82,0.35,0.13,6.29,1.0,0.109402
FXI,3.0,2026-04-15,7.8,2.59,28.53,-30.51,0.73,39.49,5.52,,-0.038474
ARKK,3.0,2026-04-15,24.47,0.0,39.39,-39.56,0.75,11.74,7.21,3.9273,-0.105091
SSO,3.0,2026-04-15,32.33,0.82,29.72,-35.34,0.87,5.89,8.38,4.2667,-0.136507
VCR,3.0,2026-04-15,15.58,0.8,21.14,-27.64,0.09,0.06,6.34,0.8131,0.158297
DLN,3.0,2026-04-15,13.72,1.91,11.73,-14.01,0.28,0.16,6.11,7.5301,0.349961
DIHP,3.0,2026-04-15,11.6,2.17,14.17,-12.96,0.27,0.48,6.06,,0.275601
VOX,3.0,2026-04-15,25.83,1.05,18.19,-21.34,0.09,0.19,6.27,0.8,0.197914
DFLV,3.0,2026-04-15,14.13,1.55,14.12,-17.54,0.21,0.54,6.19,7.4738,0.245863
GSIE,3.0,2026-04-15,13.34,2.72,14.61,-13.38,0.25,0.42,5.75,,-0.105759
DFIS,3.0,2026-04-15,15.68,2.22,15.11,-14.01,0.39,0.41,5.97,,0.0
EFAV,3.0,2026-04-15,10.48,3.03,11.1,-10.94,0.2,0.47,5.26,,-0.099544
SCHC,3.0,2026-04-15,13.57,3.65,15.88,-16.62,0.08,0.43,5.61,7.7519,-0.116772
SPXL,3.0,2026-04-15,44.13,0.8,44.27,-49.21,0.84,5.68,6.73,4.2941,-0.136092
CGXU,3.0,2026-04-15,11.01,5.37,18.09,-21.92,0.54,0.62,6.31,,0.0
KBWB,3.0,2026-04-15,25.91,2.27,24.58,-25.91,0.35,1.52,5.32,0.8,0.21314
XMHQ,3.0,2026-04-15,13.46,0.6,18.89,-25.33,0.25,0.3,5.33,6.169,-0.017043
RECS,3.0,2026-04-15,19.18,0.83,14.78,-19.28,0.15,0.41,5.73,4.7847,0.142971
JHMM,3.0,2026-04-15,13.95,0.95,16.46,-22.35,0.41,0.22,5.59,7.3746,-0.006179
SCHK,3.0,2026-04-15,18.95,1.17,15.22,-19.44,0.03,0.77,5.69,5.8343,0.072731
