ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
GPIQ,,2026-04-16,,,,,,,,0.136086,2026-05-22
FELV,,2026-04-16,,,,,,,,0.0,2026-05-22
BDYN,,2026-04-16,,,,,,,,0.0,2026-05-22
CGGE,,2026-04-16,,,,,,,,0.0,2026-05-22
CGMM,,2026-04-16,,,,,,,,0.897535,2026-05-22
KLMN,,2026-04-16,,,,,,,,0.0,2026-05-22
CGNG,,2026-04-16,,,,,,,,0.0,2026-05-22
ILOW,,2026-04-16,,,,,,,,0.0,2026-05-22
FEGE,,2026-04-16,,,,,,,,0.600879,2026-05-22
CGIC,,2026-04-16,,,,,,,,0.134266,2026-05-22
CGCV,,2026-04-16,,,,,,,,-0.139347,2026-05-22
BAFE,,2026-04-16,,,,,,,,0.0,2026-05-22
BDVL,,2026-04-16,,,,,,,,0.0,2026-05-22
RSSL,,2026-04-16,,,,,,,,-0.527717,2026-05-22
SCHV,3.0,2026-04-18,13.07,1.97,12.85,-16.22,0.04,1.88,14.82,0.21869,2026-05-22
JIRE,3.0,2026-04-18,12.9,2.96,15.28,-14.91,0.24,0.38,9.89,0.150691,2026-05-22
XLG,3.0,2026-04-18,24.2,0.7,16.91,-20.86,0.2,1.81,9.47,0.289205,2026-05-22
FVD,3.0,2026-04-18,6.12,2.3,11.3,-13.02,0.61,0.84,8.09,0.248377,2026-05-22
FBCG,3.0,2026-04-18,31.55,0.05,22.81,-27.89,0.57,0.45,5.22,0.205433,2026-05-22
SIL,3.0,2026-04-18,47.83,1.11,39.82,-32.91,0.65,1.28,5.13,0.000238,2026-05-22
RING,3.0,2026-04-18,48.04,0.78,36.9,-30.11,0.39,0.29,3.2,0.159368,2026-05-22
CORO,,2026-04-18,,,,,,,,0.549365,2026-05-22
CWI,3.0,2026-04-18,14.69,2.98,14.97,-14.3,0.3,0.29,2.34,-0.08908,2026-05-22
SPYX,3.0,2026-04-18,20.14,0.98,15.17,-18.95,0.2,0.11,2.34,-0.134505,2026-05-22
FBT,3.0,2026-04-18,10.08,0.0,20.29,-20.05,0.54,0.04,2.27,0.036077,2026-05-22
FENY,3.0,2026-04-18,9.55,2.31,21.78,-22.59,0.084,1.85,2.04,0.00528,2026-05-22
PIEQ,,2026-04-18,,,,,,,,0.0,2026-05-22
GARP,3.0,2026-04-20,29.72,0.0,20.5,-23.8,,0.08,,0.178848,2026-05-22
KORU,3.0,2026-04-26,88.57,0.59,85.36,-75.03,1.32,0.18,1.09,0.100192,2026-05-22
SOXS,3.0,2026-04-26,-85.61,8.44,105.59,-99.69,1.0,8.61,0.86,0.073598,2026-05-22
TNA,3.0,2026-04-26,27.91,0.62,63.27,-66.03,1.05,15.26,1.38,-0.275409,2026-05-22
BIZD,3.0,2026-04-26,-3.85,13.05,17.34,-32.04,12.86,1.24,1.46,-0.072092,2026-05-22
MUU,,2026-05-13,,,,,,,,0.298514,2026-05-22
DTCR,3.0,2026-05-13,34.3,0.81,21.36,-24.96,0.5,0.22,1.67,0.108422,2026-05-22
SOXQ,3.0,2026-05-13,56.96,0.34,36.24,-39.69,0.19,0.45,1.63,0.179139,2026-05-22
CHAT,3.0,2026-05-20,47.81,0.0,29.81,-31.34,0.75,0.17,,0.180163,2026-05-22
GSWO,3.0,2026-05-20,15.39,0.0,11.3,-10.26,,0.06,,0.0,2026-05-22
DRAM,,2026-06-03,,,,,,,,0.0,2026-06-04
SNXX,,2026-06-03,,,,,,,,0.0,2026-06-04
XOVR,3.0,2026-06-03,20.01,0.0,23.4,-25.23,0.75,0.41,1.01,0.0,2026-06-04
AVIV,3.0,2026-06-03,18.3,2.87,14.95,-14.13,0.25,0.05,1.27,0.0,2026-06-04
