ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
ESGU,3.0,2026-04-15,18.39,1.07,15.34,-19.54,0.15,0.72,14.82,-0.056226,2026-05-22
AVDE,3.0,2026-04-15,15.91,2.7,14.81,-13.46,0.23,0.46,14.4,-0.060298,2026-05-22
IWY,3.0,2026-04-15,24.73,0.39,19.4,-23.38,0.2,0.38,14.74,0.208279,2026-05-22
EFG,3.0,2026-04-15,8.36,2.58,16.51,-17.44,0.34,1.06,13.9,-0.114158,2026-05-22
VTWO,3.0,2026-04-15,14.65,1.26,21.23,-28.04,0.06,2.27,14.52,0.163237,2026-05-22
IWS,3.0,2026-04-15,13.05,1.48,15.59,-21.19,0.23,0.46,14.16,-0.128238,2026-05-22
SPSM,3.0,2026-04-15,11.29,1.59,20.53,-28.66,0.03,1.78,13.87,-0.136127,2026-05-22
XLP,3.0,2026-04-15,2.51,2.65,12.11,-14.55,0.08,13.16,15.48,-0.325488,2026-05-22
GSLC,3.0,2026-04-15,17.69,1.06,14.8,-19.08,0.09,0.29,13.85,-0.096944,2026-05-22
SCZ,3.0,2026-04-15,11.7,3.27,15.25,-16.18,0.4,1.2,13.43,-0.109193,2026-05-22
ITA,3.0,2026-04-15,26.76,0.49,18.87,-15.88,0.38,0.57,13.49,-0.025268,2026-05-22
DFUV,3.0,2026-04-15,14.12,1.51,14.75,-18.26,0.21,0.34,13.44,0.0,2026-05-22
DFIC,3.0,2026-04-15,15.52,2.47,14.26,-13.4,0.22,0.98,12.74,0.698189,2026-05-22
SCHM,3.0,2026-04-15,13.63,1.41,17.76,-23.8,0.04,1.14,12.91,-0.011794,2026-05-22
SOXL,3.0,2026-04-15,76.92,0.16,104.4,-87.97,0.75,88.44,12.23,-0.083311,2026-05-22
HDV,3.0,2026-04-15,8.78,2.92,11.67,-10.61,0.08,0.53,13.55,0.189477,2026-05-22
DFAS,3.0,2026-04-15,12.83,1.02,19.74,-26.48,0.26,0.42,12.75,0.280647,2026-05-22
SPMO,3.0,2026-04-15,31.26,0.91,19.04,-20.28,0.13,0.92,12.32,-0.122417,2026-05-22
DFAT,3.0,2026-04-15,13.77,1.56,20.42,-26.61,0.28,0.32,12.67,0.390781,2026-05-22
IWN,3.0,2026-04-15,14.05,1.63,20.83,-27.3,0.24,1.13,12.46,-0.13473,2026-05-22
IWO,3.0,2026-04-15,14.96,0.48,22.36,-28.92,0.24,0.45,12.17,-0.138409,2026-05-22
IQLT,3.0,2026-04-15,11.12,2.29,14.9,-14.16,0.3,1.54,11.94,-0.070494,2026-05-22
PAVE,3.0,2026-04-15,25.93,0.86,20.22,-26.49,0.47,1.14,11.63,0.119995,2026-05-22
VFH,3.0,2026-04-15,16.76,1.61,17.17,-17.65,0.09,0.53,13.35,0.245901,2026-05-22
SPTM,3.0,2026-04-15,18.46,1.2,14.91,-19.13,0.03,0.58,11.74,0.128681,2026-05-22
AMLP,3.0,2026-04-15,9.47,7.56,15.51,-15.79,1.01,1.44,12.16,0.045675,2026-05-22
SCHE,3.0,2026-04-15,12.64,2.94,16.56,-19.35,0.07,1.44,11.18,0.024738,2026-05-22
ESGV,3.0,2026-04-15,18.98,1.01,16.2,-20.62,0.09,0.22,11.11,0.02407,2026-05-22
MOAT,3.0,2026-04-15,10.87,1.45,15.66,-22.49,0.46,0.86,11.62,0.077097,2026-05-22
MGV,3.0,2026-04-15,13.21,2.06,12.18,-13.94,0.05,0.23,11.41,0.137552,2026-05-22
