ETF,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity,Out_Sentiment
DFAX,0.22032419390961694,0.4097040605643497,0.4977119460500964,0.6099322799097066,0.40213582999142267,,0.1
VSS,0.27754818633299394,0.13716448726772196,0.4057080924855492,0.78058690744921,0.36480089072232713,,0.360497651014975
ESGD,0.23177622814158771,0.31059876118375784,0.39776011560693636,0.8293453724604967,0.3624555372789108,,0.26479039720693776
NOBL,0.22198615276036987,0.4964211975223677,0.2484344894026975,0.534762979683973,0.38835906551942223,0.8441617384128729,0.6574810453188572
AVLV,0.3267141269731533,0.24865794907088787,0.5458815028901735,0.345823927765237,0.3785009027228837,0.9451409709806077,0.9081244510598478
DUHP,0.27004792026395763,0.31059876118375784,0.4880780346820809,0.32144469525959374,0.43153111631171964,0.719788199697428,0.406517509993789
VLUE,0.3203053349537427,0.24865794907088787,0.5598506743737957,0.5063205417607224,0.41788751369639937,0.48214413423187996,0.7583514147265081
DFAU,0.3157732933576477,0.21149346180316592,0.5591281310211946,0.309255079006772,0.3986677609990854,0.7355700728923119,0.4461676110945423
ACWX,0.23391542438188503,0.45925671025464576,0.4529142581888247,0.664785553047404,0.4687971431623102,,0.5677626772683371
EWZ,0.7449528118441465,0.7937370956641433,0.4213631984585742,0.9776523702031604,0.7474719143029268,,0.452923166163671
SDVY,0.5027747970253693,0.7813489332415693,0.5046965317919075,0.3072234762979684,0.43825283285830696,0.5472273414936046,0.40111470762866064
IGF,0.22660616137127743,0.5459738472126636,0.39727842003853564,0.7013544018058692,0.38542618430282255,,0.3244789685807862
BBCA,0.21644524651654087,0.29821059876118383,0.5234826589595376,0.47787810383747187,0.341675343514799,,0.33790471082995654
VDE,0.4719996230188727,0.17432897453544394,0.36235549132947975,0.5611738148984199,0.3656019168343375,0.1,0.383730850368149
IGV,0.7364651769158033,0.5459738472126636,0.3454961464354528,0.1,0.704065196147964,0.10808279466373263,0.39994582422423297
IJK,0.47432362720642723,0.27343427391603586,0.46592003853564545,0.22595936794582394,0.35278582602835695,0.6614881034245632,0.43485144071993587
PBUS,0.3093984645651579,0.112388162422574,0.5788776493256262,0.33160270880361176,0.35293885258254704,0.6878778709943612,0.47018882173160015
GDXJ,0.8891225048130509,0.6946317962835514,1.0,0.5530474040632055,0.6180400560804014,,0.5797535823047689
FNDA,0.4996131223359908,0.3725395732966278,0.4218448940269749,0.345823927765237,0.38098676084973826,0.9612570485490302,0.8236512831176791
SCHH,0.34378853048799135,0.14955264969029597,0.25108381502890176,0.7155756207674944,0.6329381395145877,,0.2690932671549783
CGUS,0.2815050032442465,0.4716448726772198,0.5971820809248555,0.30316027088036124,0.40499201262017714,0.6766263237518909,0.406517509993789
EZU,0.2781823863378954,0.6822436338609774,0.4471339113680154,0.6932279909706547,0.4981978184047722,,0.1772587604691951
CGGO,0.3078156760277364,0.6450791465932555,0.5169797687861272,0.5286681715575621,0.41342232542635454,,0.406517509993789
PVAL,0.23438906825056766,0.7441844459738475,0.5998314065510597,0.29909706546275394,0.3767823837551222,1.0,0.6704356224878719
QLD,1.0,1.0,1.0,0.13860045146726863,0.708603299468415,0.3253280154036583,0.18689219841467453
FNDE,0.37692006224920566,0.5459738472126636,0.4745905587668593,0.9207674943566592,0.3957032706802719,0.825074955301884,0.3666457807194434
AIRR,0.6238748938619461,0.9176187198898833,1.0,0.1325056433408578,0.35295612977330937,0.14529088158437628,0.7964271349496687
CIBR,0.47015813661763267,0.7813489332415693,0.45604527938342965,0.23205417607223477,0.4309051499308818,0.11667308485765368,0.6599911895960621
ONEQ,0.4702612498773996,0.32298692360633185,0.7190510597302504,0.2686230248306998,0.34672890498905995,0.3367652317425388,0.6616689969546647
BBEU,0.23618649392825058,0.17432897453544394,0.4083574181117534,0.7094808126410835,0.3807687887904952,,0.18785094547673314
PRF,0.23673051140878332,0.4840330350997938,0.5061416184971098,0.4169300225733634,0.3447098994213269,1.0,0.8093275363429162
VPU,0.33543284608186696,0.17432897453544394,0.3594653179190751,0.6221218961625282,0.30798365860572297,0.1,0.45526257466270115
FDVV,0.237200330108152,0.24865794907088787,0.4548410404624277,0.7094808126410835,0.36434785842557366,0.778001650391968,0.8288849913948073
MGC,0.31826542680389824,0.12477632484514799,0.6109104046242775,0.3072234762979684,0.31196412520085703,0.49634163113739505,0.34060200778708377
IEUR,0.2399246940976264,0.18671713695801795,0.3999277456647399,0.7115124153498871,0.39586949184266007,,0.19501856477972623
SHLD,0.3456159397909797,0.6822436338609774,1.0,0.2036117381489842,0.35450214401687546,,0.6373128815219563
DBEF,0.2154768490715021,0.4964211975223677,0.4338872832369942,1.0,0.36364458069550976,,0.2066959069927793
JGRO,0.4330724667516263,0.6079146593255336,0.6713631984585742,0.1345372460496614,0.34114757870282914,0.4560514372163388,1.0
VIGI,0.21614011798730792,0.14955264969029597,0.2855250481695568,0.5611738148984199,0.3215431755088057,,0.4132911236548401
SPYI,0.2604851038937963,0.9052305574673094,0.17377167630057805,1.0,0.4384616810397645,0.6784830147159949,0.5866503227289269
GRID,0.40413136045619397,0.7565726083964215,0.6723265895953757,0.2869074492099323,0.33613442311505226,,0.5043671694798852
DFAE,0.32887206297926663,0.4220922229869237,0.517461464354528,0.5428893905191874,0.3918653663653444,,1.0
RWL,0.19272851964391352,0.5459738472126636,0.4993978805394991,0.3803611738148984,0.30718320666705623,0.9833516710218675,0.8807919513403032
IGM,0.5617144432227882,0.5459738472126636,0.9223265895953756,0.13656884875846503,0.3626958285711622,0.13881721908953376,0.4509547796441363
XBI,0.7273191673876708,0.4964211975223677,0.5605732177263969,0.17110609480812644,0.6951141653245285,0.12475587952138632,0.5504674712772623
IDV,0.22313790292520957,0.6822436338609774,0.5018063583815029,1.0,0.3758436135082058,,0.6905414020581322
PPA,0.2932156581238849,0.7813489332415693,0.8336946050096339,0.1812641083521445,0.2993563968329702,0.11497730711043873,0.677013875018127
IJJ,0.427476487573203,0.2858224363386098,0.3765655105973025,0.45959367945823937,0.30225952975330095,0.7949470499243568,0.4240967283850968
DFEM,0.3213667481619121,0.5459738472126636,0.5090317919075145,0.5591422121896162,0.37561148839152514,,0.406517509993789
IBB,0.4777352030581429,0.6079146593255336,0.3479046242774566,0.14672686230248308,0.43931168836719325,0.1,0.28067539133789543
QYLD,0.2974465507923622,0.8061252580867173,0.13041907514450868,1.0,0.6082311325393069,0.3232113877045798,0.6294442605143415
IOO,0.32133913447846424,0.5583620096352376,0.6511319845857418,0.29503386004514676,0.30666595366511595,0.3732430202173015,0.5760006785652723
VPL,0.33167192654505984,0.14955264969029597,0.49482177263969174,0.7704288939051919,0.36316933138311913,,0.6614260268088006
VDC,0.15427355201789344,0.17432897453544394,0.2253131021194605,0.5367945823927766,0.28615012392728917,0.1,0.7905351089124624
FTCS,0.14953046680239898,0.7070199587061254,0.31539017341040465,0.3255079006772009,0.3135639200870649,0.7585063952688763,0.30915379079942107
AIQ,0.5465819605624964,0.9052305574673094,0.8185211946050096,0.14063205417607225,0.4090916018917993,0.21775134094347406,0.5359253797092567
THRO,0.3199950804600409,0.7689607708189953,0.6101878612716762,0.13860045146726863,0.3244645875104057,0.4835428414248384,0.5015385373087773
EWT,0.5999495705279273,0.7937370956641433,0.6292148362235068,0.3844243792325057,0.5728454221309928,,0.4108285883927032
URTH,0.2598833346722086,0.3601514108740538,0.531912331406551,0.4108352144469526,0.31304127102929824,0.6758960253060101,0.580945449371643
GUNR,0.3940787620418439,0.6326909841706816,0.31539017341040465,0.5530474040632055,0.34411788561488266,,0.7663497292579288
XLRE,0.3253410812599764,0.16194081211286998,0.2383188824662813,0.796839729119639,0.6236802945603097,0.1,0.1
VIS,0.3760231847788704,0.17432897453544394,0.6272880539499037,0.2970654627539504,0.2767291760904122,0.12475587952138632,0.6311335597041674
COPX,0.9890968775645785,0.8680660701995874,0.7876926782273603,0.6261851015801354,0.44003650700663777,,0.34254576895399713
BBUS,0.3059679945153249,0.1,0.5747832369942196,0.33160270880361176,0.29949502046763643,0.687110438729198,0.4475975232367564
IJS,0.5759351338162426,0.2858224363386098,0.365004816955684,0.39051918735891655,0.3231712159781316,0.8889203685875394,0.9639534088328403
SPLV,0.10367540740161788,0.3725395732966278,0.24289499036608864,0.5306997742663657,0.4662591044677164,0.6625402283042221,0.19055316750438467
XLB,0.4129030142060967,0.16194081211286998,0.32165221579961467,0.45553047404063207,0.709033489581885,0.1,0.1
FDL,0.18811470614417744,0.5955264969029597,0.3787331406551059,0.8334085778781039,0.3597627808087597,0.570733049099161,0.6291996486783026
VONE,0.30768762789098203,0.13716448726772196,0.56876204238921,0.33160270880361176,0.2801396149087624,0.7461903452069865,0.6499506124872426
SPYD,0.2834281071168261,0.14955264969029597,0.26192196531791906,0.9878103837471784,0.40109186198426927,0.8870141658643926,0.1895796452307532
JQUA,0.2497966958147868,0.21149346180316592,0.48904142581888244,0.3559819413092551,0.3520798765990292,0.6305803878421125,0.46441171400662695
HEFA,0.20257145245016966,0.4964211975223677,0.45749036608863203,0.7623024830699775,0.3815005713427952,,0.2066959069927793
DFSV,0.5588129216246843,0.43448038540949774,0.44255780346820806,0.4108352144469526,0.3748109488714489,0.7919020767432264,0.6230022682685915
URA,0.9883726821359813,0.9176187198898833,1.0,0.9939051918735893,0.5128133065337147,,0.6458004197254547
JGLO,0.2701320621094563,0.6450791465932555,0.4712186897880539,0.35395033860045155,0.3028312108395022,0.8068298720946223,0.406517509993789
IJT,0.52623037887617,0.2858224363386098,0.4240125240847784,0.2747178329571106,0.27742370940799027,0.7924095722734148,0.8352678827942662
IXN,0.5497222166795985,0.5459738472126636,0.7915462427745664,0.16907449209932282,0.3243408409515451,0.1,0.48202048282108045
MCHI,0.6534376555076353,0.7937370956641433,0.24072736030828515,0.5611738148984199,0.5130322188805008,,0.3516078987186608
