ETF,DEA_Score,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity
XLI,0.7455,0.3106309617471493,0.1571428571428572,0.6266225500579503,0.3586558044806518,0.8071387924306714,0.12464504292344976
AMLP,0.7352,0.23361271666383238,1.0,0.6702407962186984,1.0,0.4468452715988685,0.1047072031983789
LRGF,0.7346,0.3105817021455313,0.1571428571428572,0.6174181215650331,0.35050916496945006,0.1900760069106367,0.6327026027903665
IWD,0.7299,0.22164189820955255,0.2714285714285716,0.5012526422529928,0.4401221995926681,0.7163661369898195,1.0
RSP,0.7263,0.26812550368108756,0.2942857142857145,0.43600481144733416,0.4299389002036661,0.9183444454346226,1.0
RWL,0.7255,0.19244534980436956,0.5114285714285718,0.5663305282800448,0.3810590631364562,0.2907095675769822,0.979396744115996
MLPX,0.7251,0.299815663561683,0.5800000000000005,0.9163400229547276,0.9268839103869653,0.20947242904600033,0.1
PPA,0.7221,0.2858619267896262,0.728571428571429,0.8794729701763666,0.18146639511201632,0.2834518200596705,0.11491025096868711
FIDU,0.7137,0.35530193476618027,0.16171428571428578,0.6470926727455936,0.3118126272912424,0.1349766138549675,0.12464504292344976
FNCL,0.7113,0.3107142920245869,0.16171428571428578,0.606977481859994,0.45641547861507137,0.14382484262198966,0.10332708079466571
FTEC,0.7111,0.5590380647938451,0.16171428571428578,0.7434869957981307,0.19368635437881876,0.40346456023530186,0.1
XLK,0.7031,0.5327360613535058,0.1571428571428572,0.7060032079361167,0.21608961303462323,0.9951661007410815,0.1
WTV,0.6994,0.3007330122998221,0.20285714285714296,0.6470570391629825,0.4645621181262729,0.16592292903144384,1.0
VFH,0.6987,0.3106322817359407,0.16857142857142865,0.6064046034934009,0.42790224032586566,0.36925060332772475,0.10354888618097677
XLRE,0.6946,0.30048215821823976,0.1571428571428572,0.2953755071503962,0.7985743380855398,0.5888512885153108,0.1
GSLC,0.6913,0.29128166287411067,0.16857142857142865,0.5781526545724665,0.31588594704684325,0.3678667594449511,0.6792324438298397
VIS,0.6895,0.3605741012165036,0.16857142857142865,0.645708445113395,0.2975560081466395,0.2617358216586143,0.12464504292344976
SPHQ,0.6891,0.2503304050064017,0.23714285714285727,0.6131969125480312,0.3423625254582485,0.47225685277719953,0.6412174651204184
VDC,0.6871,0.14297082605391326,0.16857142857142865,0.3252720829610716,0.5378818737270876,0.2701786570247513,0.1
IVE,0.6865,0.24316005926184908,0.2714285714285716,0.48987182417598496,0.43401221995926687,0.5497003426506211,1.0
VGT,0.6829,0.5556308899198131,0.16857142857142865,0.7334410665466293,0.18961303462321794,0.8265870391049259,0.1
VNQ,0.6824,0.31092162345033425,0.2142857142857144,0.29118719067118903,0.9004073319755601,0.7013149851527076,0.1
DIA,0.6792,0.23074706747023277,0.24857142857142872,0.48678540771290424,0.4095723014256619,0.7192959538640116,0.5809603351725838
SDY,0.6791,0.1907540255928976,0.46571428571428597,0.34743068925551557,0.615274949083503,0.40512196531933853,0.9258430658433396
FNDX,0.6754,0.23336847387403545,0.35142857142857165,0.5839417412243547,0.4299389002036661,0.6022964082875164,1.0
SCHE,0.6718,0.2909876191993343,0.14571428571428577,0.4977139533952333,0.6987780040733198,0.45219779180637115,0.8073373769459314
VBK,0.6689,0.5211423183988115,0.12285714285714289,0.45638996174567403,0.2059063136456212,0.41104984347704077,0.7232977805769679
EQWL,0.6648,0.21075350929506875,0.35142857142857165,0.555253966177639,0.4482688391038697,0.1510530523010461,0.8809767652011994
VTWO,0.6598,0.5257394995600531,0.1342857142857143,0.47471384634220526,0.3566191446028514,0.5332294441584153,0.8251187754152005
FTCS,0.6511,0.1468585049835856,0.6600000000000005,0.3816718210999235,0.32606924643584523,0.2965079883927098,0.7555581417637636
IWL,0.6475,0.30669096444433064,0.23714285714285727,0.648438525750365,0.2955193482688391,0.1383375491755885,0.4432808028807317
REET,0.6458,0.29405223421299753,0.22571428571428584,0.30060267961495635,0.8433808553971487,0.30896513688802735,0.10054219094431589
XLE,0.6431,0.42249267239283256,0.1571428571428572,0.6000536026541842,0.5969450101832994,0.8835783860738772,0.1
EUSA,0.643,0.2805739984439417,0.16857142857142865,0.4494633414950482,0.4421588594704684,0.11692182048167755,0.9169092377835891
FENY,0.6404,0.44492786874358026,0.16171428571428578,0.6199618111544992,0.5704684317718941,0.28953992710141846,0.1
QYLD,0.6402,0.26830030064213045,0.7514285714285719,0.47015000672317386,1.0,0.5724351476722953,0.32221202951928474
XLU,0.6401,0.31158340602989376,0.1571428571428572,0.501746030319915,0.6274949083503055,0.8198680115697371,0.1
PRF,0.6317,0.2268387207602933,0.45428571428571474,0.5793285627986312,0.41771894093686357,0.325735715180552,1.0
VLUE,0.6267,0.29804934693515456,0.23714285714285727,0.6169082872292134,0.5073319755600815,0.39314946744340873,0.48043320508783227
VDE,0.6216,0.4434696301364752,0.16857142857142865,0.6208937663920191,0.5623217922606926,0.3441597203439657,0.1
VIOO,0.6201,0.521596390037671,0.14571428571428577,0.40270659901971106,0.36680244399185347,0.196385473535013,0.9035023344332325
VOT,0.6185,0.3847965568111924,0.12285714285714289,0.40222965722168613,0.24663951120162933,0.3763376614416174,0.7203526979476156
IWB,0.6173,0.30166453815488414,0.23714285714285727,0.6065498788686612,0.31588594704684325,0.5708981968616006,0.7495940413762887
QUAL,0.6156,0.2802262860768688,0.23714285714285727,0.5780238254661034,0.29959266802443996,0.6053512849965186,0.67294795788436
ITA,0.601,0.31596326535964786,0.5000000000000003,0.7954791338724767,0.19979633401221997,0.3908378317065943,0.10019716034338759
OEF,0.5994,0.3265771291078741,0.2942857142857145,0.6807746314474896,0.29959266802443996,0.4181638133300365,0.4625039363610225
XLG,0.5926,0.35620506081594117,0.2942857142857145,0.7077985922907506,0.2425661914460285,0.45942498214416,0.38086723167709524
MTUM,0.5908,0.40616771803464535,0.23714285714285727,0.6915825711579042,0.2670061099796334,0.4815866020283035,0.5454591508413544
DVY,0.5861,0.24280579225463517,0.5000000000000003,0.4734584478163696,0.804684317718941,0.43563923756594075,0.751417774552624
IVOO,0.5854,0.4252170472309146,0.14571428571428577,0.44678808175440277,0.37087576374745423,0.18218799898908317,0.813720443063105
FUTY,0.5839,0.3098502864758079,0.16171428571428578,0.4931117391487747,0.6091649694501019,0.16907237217496995,0.1
DGRW,0.5828,0.2224030756085335,0.385714285714286,0.49643114442123537,0.3912423625254583,0.4209032423070088,0.8716486164546736
XAR,0.58,0.43062743728337394,0.46571428571428597,0.9436298651451636,0.17128309572301426,0.2459212696210259,0.12464504292344976
VPU,0.574,0.3102812130917421,0.16857142857142865,0.4930486951180013,0.6234215885947046,0.2906210977961894,0.1
QQQ,0.5734,0.43133712865387136,0.2714285714285716,0.726498000027106,0.19979633401221997,1.0,0.31210756192067035
IVW,0.5729,0.40752875783317627,0.2714285714285716,0.7096104229142821,0.18757637474541752,0.7246196505693818,0.39620877089694273
SPYX,0.5666,0.29870834969160764,0.2942857142857145,0.6122649573105113,0.29959266802443996,0.16460484121233093,0.47811657105302796
USRT,0.5612,0.33125539366845025,0.1571428571428572,0.3535733706886982,0.6885947046843178,0.22476473449354703,0.1
IMCG,0.5598,0.377047734878455,0.1342857142857143,0.4418130854129362,0.2629327902240326,0.1949215401056365,0.59815025261169
ACWI,0.5581,0.25180614312362437,0.4314285714285717,0.5800412344508523,0.4238289205702649,0.660336127399364,0.7079808864000439
IYY,0.5567,0.3017264970561825,0.2942857142857145,0.6049655549648774,0.30570264765784116,0.15882663763415678,0.6635705190519874
PTLC,0.5478,0.19885330006403815,0.7514285714285719,0.4531336005039869,0.33014256619144605,0.19390567592482055,0.6448895765160124
IWV,0.5463,0.30687082094127993,0.2942857142857145,0.599176468312989,0.3016293279022404,0.3801348789037106,0.7100141024412284
NOBL,0.5457,0.21048369431174657,0.46571428571428597,0.3178548156883396,0.5358452138492872,0.3659239829941655,0.8408299902788998
URTH,0.5435,0.2574665830096041,0.3400000000000002,0.5834620583815137,0.41160896130346236,0.29522853594959736,0.6733176335282118
IWF,0.5429,0.43094628906346316,0.2714285714285716,0.6904587427832478,0.18146639511201632,0.8790217714820434,0.33078850445664526
IWY,0.5383,0.432491239497183,0.2942857142857145,0.719162964098861,0.1794297352342159,0.39253572905203554,0.29631008940673903
XLY,0.5382,0.49552109130755595,0.1571428571428572,0.5068745251710908,0.2670061099796334,0.7665536013731077,0.10199624847679943
IYF,0.5312,0.29891984140504957,0.5000000000000003,0.6661977551147517,0.4299389002036661,0.20925224442477278,0.10561906978654655
IOO,0.53,0.3162611901527473,0.5228571428571432,0.7030099869967881,0.2955193482688391,0.28945465965408834,0.3720196612675767
IWR,0.5291,0.346700376522684,0.2714285714285716,0.47495231724121767,0.36069246435845215,0.6330716417945124,0.991177074633405
IWS,0.5223,0.3311830155004826,0.32857142857142885,0.4692098283512053,0.4014256619144604,0.38498647904853645,0.9983857496885141
VIOV,0.5199,0.5453967124999792,0.1800000000000001,0.39533044741922263,0.4584521384928718,0.11868909976261269,0.9035023344332325
RPV,0.5133,0.2664964257102659,0.46571428571428597,0.5280463553316902,0.5908350305498983,0.14684717546834114,0.9169092377835891
ONEQ,0.5106,0.45332259276142695,0.3057142857142859,0.7119430520528981,0.2690427698574338,0.3267357813957878,0.3357051905198735
FNDE,0.5066,0.31750207850861156,0.5114285714285718,0.6349142106270613,0.9228105906313646,0.37341174375973524,0.82182866218492
RWR,0.4937,0.33501554677212014,0.35142857142857165,0.3458819989343428,0.8515274949083503,0.1535875628395717,0.1
TILT,0.4883,0.3203233232369902,0.35142857142857165,0.5808608068509067,0.3464358452138493,0.13095978880901954,0.8153223708531293
XLB,0.4828,0.3927186242858486,0.1571428571428572,0.37595126056844097,0.45641547861507137,0.6728226360453458,0.1
